action_id,object,count
set_control,wall lamp,71
store,sunglasses,71
inspect,backpack,70
straighten,display cabinet,70
wipe,mirror frame,70
dust,monitor,69
fluff,sofa,69
open,cabinet door,69
place_on,jar,69
smooth,window curtain,69
smooth,sunbed,69
wipe,bathroom counter,69
cover,table cloth,68
inspect,basket,68
inspect,dresser,68
straighten,sink cabinet,68
turn_off,bedside lamp,68
wipe,book rack,68
hang,wardrobe,67
inspect,screwdriver,67
inspect,boiler,67
lift,bathrobe,67
pour,wine_bottle,67
set_control,fan,67
smooth,cushion,67
wipe,armchair,67
wipe,fridge,67
inspect,bag,66
inspect,bottle_opener,66
plug_in,cellular_telephone,66
turn_on,computer,66
turn_on,laptop_computer,66
inspect,armchair,65
place_in,handbag,65
place_on,box,65
push,bench,65
reposition,bar chair,65
set_up,ironing board,65
straighten,wash cabinet,65
hang,hanging clothes,64
place_on,bookshelf,64
straighten,wall cabinet,64
wipe,screen,64
close,sliding door,63
fold,cloth,63
inspect,couch,63
inspect,camera,63
open,chest of drawers,63
set_control,ceiling lamp,63
store,shampoo,63
straighten,closet,63
wipe,oven and stove,63
dust,stand,62
hang,bath towel,62
inspect,box,62
inspect,pliers,62
pick_up,vacuum cleaner,62
place_on,bouquet,62
store,toothbrush,62
wipe,air vent,62
close,closet,61
dust,piano,61
fold,bathroom towel,61
inspect,picture,61
inspect,pipe,61
inspect,telephone,61
pick_up,kettle,61
place_on,coffee table,61
set_control,chandelier,61
wipe,kitchen countertop item,61
wipe,kitchen countertop items,61
wipe,stand,61
pick_up,mouse,60
smooth,bed comforter,60
straighten,folder,60
wipe,display cabinet,60
carry,storage box,59
dust,wall clock,59
open,attic door,59
pick_up,umbrella,59
place_on,decorative plant,59
wipe,banister,59
dust,led tv,58
hang,jacket,58
set_control,guitar,58
straighten,chest,58
straighten,file cabinet,58
carry,flower vase,57
load,bag,57
pick_up,newspaper,57
place_on,mouse,57
reposition,rack,57
rinse,kettle,57
rinse,glass,57
scrub,pot,57
store,basket,57
straighten,decorative plant,57
wipe,ventilation,57
wipe,cutting board,57
wipe,railing,57
carry,stand,56
dust,sculpture,56
inspect,kitchen appliance,56
inspect,bed,56
inspect,ladder,56
open,suitcase,56
straighten,cardboard box,56
turn_on,dishwasher,56
wipe,tv stand,56
wipe,appliance,56
hang,bathrobe,55
inspect,table,55
open,microwave,55
reposition,footrest,55
straighten,shoe,55
straighten,towel bar,55
turn_off,heater,55
turn_on,oven and stove,55
carry,vase,54
dust,tv stand,54
place_in,backpack,54
reposition,stand,54
carry,case,53
dump,sink,53
dust,printer,53
inspect,furnace,53
inspect,hammer,53
lift,tray,53
pick_up,magazine,53
reposition,sofa chair,53
store,toy,53
straighten,bath cabinet,53
vacuum,doormat,53
wipe,stovetop,53
wipe,pipe,53
wipe,staircase handrail,53
carry,rug,52
carry,cart,52
carry,crate,52
dump,box,52
dust,clock,52
dust,art frame,52
fill,bottle,52
hang,rack,52
inspect,monitor,52
pick_up,stack of papers,52
place_in,dishwasher,52
smooth,crib,52
store,wine_bottle,52
wipe,exercise machine,52
inspect,kitchen cabinet,51
inspect,bookshelf,51
inspect,chair,51
open,closet,51
pick_up,glass,51
place_in,bag,51
place_in,vase,51
wipe,range hood,51
wipe,stove,51
close,laptop_computer,50
hang,bathroom towel,50
lift,stuffed animal,50
open,kitchen lower cabinet,50
turn_on,music player,50
vacuum,mat,50
wipe,machine,50
carry,basket of something,49
dust,rack,49
lift,bath towel,49
place_in,toaster,49
place_on,pan,49
place_on,shelving,49
carry,laptop_computer,48
dust,wardrobe,48
fill,flower vase,48
inspect,heater,48
open,washing machine,48
stack,plate,48
straighten,pile of magazines,48
straighten,cabinet /otherroom,48
wipe,bath sink,48
dump,bowl,47
inspect,book,47
pick_up,towel,47
pick_up,soupspoon,47
place_in,laundry basket,47
place_on,table cloth,47
straighten,container,47
straighten,curtain rod,47
straighten,jar,47
turn_off,wall lamp,47
wipe,wardrobe,47
close,attic door,46
open,piano,46
place_on,lamp,46
place_on,cap,46
reposition,sofa,46
straighten,paper,46
straighten,bathroom shelf,46
straighten,magazine,46
turn_off,monitor,46
inspect,pillow,45
inspect,laptop_computer,45
inspect,machine,45
pick_up,tool,45
scrub,grill,45
straighten,tray,45
straighten,poster,45
straighten,spice rack,45
turn_off,chandelier,45
wipe,ceiling vent,45
wipe,kitchen shelf,45
wipe,telephone,45
open,oven,44
place_in,bin,44
place_on,plant,44
place_on,keyboard,44
set_up,monitor,44
turn_on,tap,44
vacuum,sofa,44
wipe,treadmill,44
wipe,coffee_maker,44
carry,tray,43
dump,dustbin,43
inspect,broom,43
inspect,appliance,43
shake_out,mat,43
store,clothes,43
straighten,clothes rack,43
turn_on,candle holder,43
wipe,ventilation hood,43
wipe,bath wall,43
close,shutter,42
dust,stairs railing,42
dust,floor lamp,42
fluff,armchair,42
inspect,tv,42
place_in,shampoo,42
place_on,sofa seat,42
set_up,vacuum cleaner,42
store,suitcase,42
store,hairbrush,42
straighten,photo,42
wipe,flowerpot,42
carry,vacuum cleaner,41
hang,clothes hanger,41
inspect,washing machine,41
inspect,toilet,41
place_on,ornament,41
place_on,backpack,41
place_on,bowl of fruit,41
set_up,computer_keyboard,41
set_up,camera,41
set_up,stool,41
straighten,stand,41
straighten,shelf with clutter,41
turn_off,led tv,41
wipe,toilet,41
close,fridge,40
inspect,plant,40
inspect,mouse,40
open,refrigerator cabinet,40
pick_up,food,40
place_in,cup,40
place_on,basket,40
set_control,tv,40
set_control,bedside lamp,40
wipe,closet mirror wall,40
wipe,laptop_computer,40
wipe,whiteboard,40
close,laptop,39
close,window shutters,39
fill,printer,39
inspect,rack,39
inspect,scale,39
inspect,towel,39
open,dresser,39
place_in,sunglasses,39
place_on,plush toy,39
place_on,dresser,39
place_on,cushion,39
pull,curtain,39
store,wardrobe,39
turn_off,radiator,39
turn_on,air conditioning,39
wipe,hairbrush,39
wipe,led tv,39
fill,bowl,38
lift,throw blanket,38
lock,cabinet,38
pick_up,laptop,38
pick_up,basket,38
place_on,hanger,38
place_on,monitor,38
pour,flower vase,38
reposition,shelf,38
reposition,folding chair,38
straighten,case,38
turn_on,range hood,38
carry,decorative plant,37
dust,fireplace,37
dust,globe,37
hang,cap,37
open,backpack,37
pick_up,bowl of fruit,37
place_on,speaker,37
place_on,camera,37
place_on,bed,37
reposition,dresser,37
store,plate,37
straighten,brochure,37
straighten,storage bin,37
straighten,wine rack,37
turn_on,radio,37
wipe,mouse,37
open,bathroom cabinet,36
place_in,pan,36
place_in,towel,36
place_in,kitchen cabinet,36
place_on,stand,36
reposition,ventilation,36
rinse,cutting board,36
rinse,tray,36
set_control,window shade,36
set_up,laptop,36
straighten,clutter,36
straighten,sofa seat,36
straighten,rack,36
straighten,photo mount,36
straighten,stack of books,36
wipe,vase,36
wipe,computer desk,36
dust,photo,35
hang,backpack,35
inspect,shampoo,35
inspect,fuse box,35
inspect,electric box,35
place_in,folder,35
place_on,book rack,35
store,cellular_telephone,35
straighten,document,35
straighten,board,35
vacuum,floor mat,35
wipe,pillar,35
wipe,shelving,35
wipe,bath,35
carry,container,34
carry,plate,34
dust,bed table,34
fill,water dispenser,34
inspect,flowerpot,34
inspect,trashcan,34
inspect,fireplace,34
open,window glass,34
open,can,34
place_in,basket of something,34
plug_in,keyboard,34
polish,statue,34
set_control,laptop_computer,34
set_control,ceiling fan,34
set_up,dining table,34
store,shoe,34
straighten,vase,34
straighten,shelf,34
straighten,laundry basket,34
straighten,ironing board,34
tighten,pipe,34
turn_off,oven,34
turn_on,clock,34
wipe,speaker,34
wipe,desk chair,34
wipe,bathtub,34
wipe,laundry machine,34
dump,bag,33
dump,clothes_hamper,33
dust,ceiling fan,33
inspect,painting,33
inspect,mop,33
pick_up,mop,33
pick_up,hanger,33
place_on,ottoman,33
reposition,pouffe,33
set_control,computer chair,33
smooth,bed small,33
start_machine,coffee_maker,33
store,pan,33
store,jar,33
store,bowl,33
straighten,toothbrush,33
straighten,clothes hanger,33
straighten,locker,33
turn_on,washer-dryer,33
wipe,shampoo,33
wipe,cooker,33
wipe,exhibition window,33
carry,shampoo,32
carry,bowl,32
dust,fan,32
hang,hat,32
inspect,lamp,32
inspect,dishwasher,32
inspect,board,32
inspect,air vent,32
inspect,elevator door,32
open,tool box,32
place_in,sink,32
place_in,camera,32
place_on,bag,32
place_on,stuffed animal,32
place_on,side table,32
store,kettle,32
turn_on,cooker,32
wipe,wall clock,32
wipe,shower cabin,32
wipe,computer,32
wipe,sideboard,32
wipe,exercise bike,32
wipe,can,32
align,art frame,31
carry,side table,31
carry,bottle,31
dust,vent,31
hang,coat rack,31
inspect,stool,31
open,door window,31
open,window shade,31
reposition,footstool,31
set_control,screen,31
stack,stack of papers,31
store,toaster,31
straighten,flower vase,31
wipe,lamp,31
wipe,table cloth,31
wipe,display,31
carry,mouse,30
carry,speaker,30
carry,bicycle,30
close,sliding glass door,30
hang,towel bar,30
inspect,speaker,30
inspect,mini fridge,30
lift,basket of something,30
pick_up,brochure,30
place_in,cap,30
place_on,stool,30
place_on,sunglasses,30
scrub,shower,30
store,bottle,30
straighten,picture frame,30
straighten,coat rack,30
turn_on,kitchen extractor,30
turn_on,furnace,30
wipe,sunglasses,30
wipe,kitchen table,30
carry,jar,29
close,dresser,29
dust,photo mount,29
dust,pillar,29
dust,shelving,29
hang,coat,29
lift,bathroom towel,29
mop,stair step,29
open,case,29
open,jar,29
pick_up,guitar,29
pick_up,folder,29
place_in,plate,29
place_on,rug,29
polish,vase,29
set_up,flower vase,29
shake_out,floor mat,29
smooth,bath mat,29
stack,boxes,29
straighten,kitchen shelf,29
straighten,toy,29
wipe,chest,29
wipe,table lamp,29
align,armchair,28
carry,painting,28
carry,luggage,28
carry,coffee table,28
close,case,28
dump,bucket,28
fill,jar,28
fold,hanging clothes,28
inspect,chest of drawers,28
inspect,drawer,28
open,window shutter,28
place_on,toaster,28
polish,table,28
pour,pitcher,28
scrub,bath,28
straighten,printer,28
turn_off,wall tv,28
wipe,laptop,28
wipe,camera,28
wipe,decoration,28
wipe,bed,28
wipe,glasses,28
wipe,towel bar,28
carry,mat,27
cover,throw blanket,27
dust,ceiling vent,27
inspect,flower vase,27
inspect,garage door opener motor,27
inspect,sofa,27
lift,bucket,27
pick_up,container,27
place_in,toothbrush,27
place_in,cellular_telephone,27
place_in,book,27
place_on,bath towel,27
place_on,computer_keyboard,27
plug_in,toaster,27
pour,cup,27
reposition,table,27
reposition,wardrobe,27
scrub,sink cabinet,27
scrub,urinal,27
set_control,light fixture,27
set_up,speaker,27
shake_out,carpet,27
smooth,throw blanket,27
start_machine,dishwasher,27
store,flashlight,27
straighten,storage cabinet,27
straighten,office chair,27
wipe,kitchen extractor,27
wipe,fan,27
wipe,ceiling arch,27
align,dining chair,26
carry,bucket,26
dump,dustpan,26
dust,sideboard,26
fill,coffee machine,26
inspect,desk chair,26
inspect,computer_keyboard,26
inspect,keyboard,26
inspect,vent,26
inspect,tap,26
load,printer,26
pick_up,kitchen utensil,26
pick_up,shovel,26
place_in,case,26
polish,cabinet,26
reposition,lounge chair,26
straighten,stool,26
straighten,plush toy,26
straighten,sign,26
straighten,binder,26
wipe,photo,26
wipe,shower curtain,26
wipe,bath cabinet,26
wipe,bidet,26
wipe,piano,26
wipe,fire extinguisher,26
wipe,wall lamp,26
carry,flower stand,25
close,door/window,25
dust,banister,25
dust,wall lamp,25
dust,keyboard,25
dust,exhibition panel,25
open,chest,25
pick_up,pot,25
pick_up,document,25
place_in,laptop_computer,25
place_in,chest,25
place_on,container,25
place_on,armchair,25
place_on,wardrobe,25
reposition,bed,25
reposition,board,25
reposition,rocking chair,25
smooth,table cloth,25
stack,storage box,25
stack,firewood,25
straighten,ornament,25
straighten,boxes,25
straighten,flag,25
straighten,papers,25
straighten,crate,25
turn_off,coffee machine,25
turn_on,amplifier,25
wipe,heater,25
wipe,kitchen utensil,25
wipe,shower,25
wipe,jar,25
wipe,ceiling fan,25
wipe,paper,25
wipe,fireplace wall,25
wipe,small table/stand,25
wipe,spa bench,25
wipe,washbasin counter,25
carry,exercise ball,24
close,shower door,24
close,chest,24
dump,backpack,24
dust,heater,24
dust,armchair,24
dust,picture frame,24
dust,coffee table,24
dust,flowerpot,24
dust,railing,24
inspect,microwave,24
inspect,electrical controller,24
inspect,copier machine,24
lift,tool box,24
open,book,24
place_on,kettle,24
place_on,knife,24
place_on,seat,24
plug_in,laptop_computer,24
press,telephone,24
set_up,nightstand,24
set_up,keyboard,24
straighten,decoration,24
straighten,desk chair,24
straighten,kitchen utensil,24
straighten,bench,24
straighten,wall sign,24
wipe,bar chair,24
wipe,sign,24
wipe,bottle,24
wipe,display table,24
wipe,exhibition window frame,24
align,wall panel,23
align,rug,23
attach,shelf,23
carry,clothes,23
close,shade,23
inspect,pitcher,23
inspect,elevator,23
inspect,nightstand,23
inspect,stove,23
lift,cushion,23
load,box,23
open,umbrella,23
place_in,container,23
place_in,microwave,23
place_on,basket of something,23
place_on,mat,23
reposition,air conditioning,23
set_up,armchair,23
set_up,coffee table,23
store,hammer,23
straighten,flower,23
straighten,bookshelf,23
straighten,suitcase,23
straighten,sideboard,23
straighten,bedside cabinet,23
turn_off,tap,23
turn_on,candlestick,23
vacuum,stair step,23
wipe,ornament,23
wipe,newspaper,23
wipe,plant,23
wipe,door window,23
wipe,mini fridge,23
wipe,wall board,23
wipe,cabinet door,23
carry,toy,22
carry,lamp,22
carry,seat,22
close,chest of drawers,22
close,suitcase,22
dump,trash bag,22
dust,wall panel,22
dust,ventilation,22
dust,bedside lamp,22
inspect,storage box,22
inspect,decorative plant,22
load,clothes dryer,22
open,doorway,22
pick_up,toaster,22
pick_up,ladder,22
pick_up,dumbbell,22
place_in,lamp,22
place_in,drawer,22
place_in,storage box,22
place_on,blanket,22
place_on,statue,22
place_on,sculpture,22
polish,picture,22
reposition,plant,22
set_control,oven,22
smooth,bed curtain,22
stack,magazine,22
store,plush toy,22
straighten,cosmetics,22
turn_on,shower,22
turn_on,shower cabin,22
turn_on,light fixture,22
wipe,shower door,22
wipe,end table,22
wipe,fireplace,22
wipe,hand dryer,22
dust,frame,21
dust,chest,21
inspect,hanger,21
inspect,blanket,21
inspect,shelving,21
inspect,wrench,21
lift,laundry basket,21
open,mini fridge,21
place_in,laundry machine,21
place_in,jar,21
place_in,trashcan,21
place_on,kitchen cabinet,21
pull,dining chair,21
reposition,decorative plant,21
set_control,alarm_clock,21
set_control,desk lamp,21
set_up,board,21
straighten,tool box,21
straighten,bathrobe,21
turn_off,desk lamp,21
wipe,frame,21
wipe,shower door frame,21
wipe,clock,21
carry,cellular_telephone,20
carry,decoration,20
carry,pillar,20
carry,laundry basket,20
carry,fire extinguisher,20
carry,chest,20
close,oven,20
cover,clothes,20
dispose,basket,20
fill,vase,20
fill,bucket,20
fold,stack of towels,20
hang,robe,20
inspect,ceiling vent,20
inspect,clothes hanger,20
inspect,clothes dryer,20
inspect,electrical box,20
inspect,basket of something,20
lift,cardboard box,20
open,shower curtain,20
pick_up,clutter,20
place_in,chest of drawers,20
place_on,bottle,20
polish,tap,20
reposition,ironing board,20
scrub,bath tub,20
store,cup,20
store,knife,20
store,case,20
straighten,bathroom utensil,20
straighten,fridge,20
straighten,table,20
straighten,pool stick,20
tighten,cabinet,20
turn_off,air conditioner,20
turn_on,light,20
wipe,bathroom shelf,20
wipe,worktop,20
wipe,wall cabinet,20
wipe,sculpture,20
wipe,pool table,20
carry,exercise equipment,19
close,attic hatch,19
close,shades,19
dust,board,19
dust,sign,19
hang,umbrella,19
inspect,bathroom cabinet,19
inspect,case,19
inspect,clothes,19
inspect,desk,19
load,washer-dryer,19
pick_up,computer_keyboard,19
pick_up,brush,19
place_in,bathroom cabinet,19
place_in,wine_bottle,19
place_in,toy,19
place_in,document,19
place_on,laptop,19
place_on,clothes,19
place_on,storage box,19
place_on,hanging clothes,19
place_on,cutting board,19
place_on,decorative plate,19
place_on,cosmetics,19
place_on,computer chair,19
plug_in,monitor,19
polish,chandelier,19
polish,elevator door,19
reposition,clothes dryer,19
reposition,sink,19
reposition,music equipment stand,19
rinse,bowl of fruit,19
scrub,bath wall,19
set_control,printer,19
smooth,dog bed,19
straighten,ottoman,19
straighten,shelf / cabinet,19
turn_on,appliance,19
turn_on,clothes dryer,19
turn_on,coffee maker,19
wipe,curtain,19
wipe,aquarium,19
wipe,column,19
align,photo mount,18
align,partition,18
carry,pot,18
dispose,trash_can,18
dump,storage bin,18
dust,wall tv,18
dust,chair,18
dust,air vent,18
fill,liquid soap,18
hang,poster,18
inspect,tray,18
inspect,attic door,18
inspect,wall panel,18
inspect,device,18
open,sliding glass door,18
place_in,flower,18
place_in,dresser,18
place_on,firewood,18
place_on,nightstand,18
place_on,hat,18
polish,wine_bottle,18
polish,sculpture,18
stack,crate,18
straighten,box with books,18
tighten,chair,18
turn_off,fireplace,18
turn_on,laptop,18
turn_on,ventilation hood,18
turn_on,kitchen appliance,18
turn_on,treadmill,18
turn_on,decorative lamp,18
wipe,shower hose,18
wipe,exercise equipment,18
wipe,wall tv,18
wipe,glass,18
wipe,window curtain,18
wipe,kitchen top,18
wipe,doorpost,18
carry,bin,17
carry,cushion,17
carry,floor lamp,17
dust,parapet,17
dust,desk,17
dust,support beam,17
dust,side table,17
dust,blinds,17
dust,art piece,17
dust,artwork,17
